aluno_anon,opcao,unidade,g,h,bairro_fam,situacao,pontos,irmao,pais_menor18
aluno_0072998,1,07003,Maternal II ,Integral,TAQUARA,Confirmado,7,0,0
aluno_0073002,1,10084,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,2,0,0
aluno_0073002,1,0918822,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,2,0,0
aluno_0073002,2,0918808,Maternal II ,Integral,GUARATIBA,Confirmado,2,0,0
aluno_0073002,2,10073,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,2,0,0
aluno_0073002,3,1026805,Maternal II ,Integral,GUARATIBA,Cancelado pelo sistema,2,0,0
aluno_0073008,1,0622603,Maternal II ,Integral,ANCHIETA,Cancelado pelo sistema,53,1,0
aluno_0073008,2,0622602,Maternal II ,Integral,ANCHIETA,Cancelado pelo sistema,53,1,0
aluno_0073008,3,06001,Maternal II ,Integral,ANCHIETA,Cancelado pelo sistema,53,1,0
aluno_0073008,4,06005,Maternal II ,Integral,ANCHIETA,Cancelado pelo sistema,53,1,0
