unidade,g,h,ociosas
0625603,Maternal I,Integral,1
0625604,Maternal I,Integral,1
0625605,Maternal I,Integral,9
0625606,Maternal I,Integral,2
0625607,Maternal I,Integral,6
0625608,Maternal I,Integral,0
0625609,Maternal I,Integral,2
0625610,Maternal I,Integral,1
0625611,Maternal I,Integral,0
0625612,Maternal I,Integral,2
0625614,Maternal I,Integral,4
0625615,Maternal I,Integral,0
0625616,Maternal I,Integral,2
0625801,Maternal I,Integral,3
0625802,Maternal I,Integral,4
0625803,Maternal I,Integral,2
0625804,Maternal I,Integral,3
0625814,Maternal I,Integral,2
0625815,Maternal I,Integral,16
0625816,Maternal I,Integral,1
0625817,Maternal I,Integral,6
0625818,Maternal I,Integral,0
0625819,Maternal I,Integral,0
0625820,Maternal I,Integral,0
0716601,Maternal I,Integral,2
0716603,Maternal I,Integral,0
0716605,Maternal I,Integral,9
0716606,Maternal I,Integral,0
0716607,Maternal I,Integral,0
0716608,Maternal I,Integral,2
0716609,Maternal I,Integral,1
0716610,Maternal I,Integral,7
0716611,Maternal I,Integral,0
0716612,Maternal I,Integral,0
0716613,Maternal I,Integral,0
0716614,Maternal I,Integral,0
0716801,Maternal I,Integral,0
0716802,Maternal I,Integral,4
0716803,Maternal I,Integral,0
0716804,Maternal I,Integral,6
0716806,Maternal I,Integral,0
0716807,Maternal I,Integral,33
0716808,Maternal I,Integral,6
0716809,Maternal I,Integral,0
0716812,Maternal I,Integral,4
0716813,Maternal I,Integral,1
0716816,Maternal I,Integral,0
0716818,Maternal I,Integral,5
0716819,Maternal I,Integral,3
0716820,Maternal I,Integral,1
0716821,Maternal I,Integral,2
0716822,Maternal I,Integral,5
0716824,Maternal I,Integral,4
0724601,Maternal I,Integral,1
0724604,Maternal I,Integral,7
0724605,Maternal I,Integral,3
0724606,Maternal I,Integral,1
0724801,Maternal I,Integral,1
0724802,Maternal I,Integral,0
0724803,Maternal I,Integral,5
0724804,Maternal I,Integral,10
0724805,Maternal I,Integral,4
0724806,Maternal I,Integral,1
0724807,Maternal I,Integral,4
0724808,Maternal I,Integral,4
0724809,Maternal I,Integral,8
0734601,Maternal I,Integral,1
0734602,Maternal I,Integral,5
0734603,Maternal I,Integral,10
0734801,Maternal I,Integral,9
0734802,Maternal I,Integral,1
0734803,Maternal I,Integral,1
0734804,Maternal I,Integral,6
0734805,Maternal I,Integral,0
0817202,Maternal I,Integral,2
0817504,Maternal I,Integral,0
0817602,Maternal I,Integral,10
0817603,Maternal I,Integral,8
0817604,Maternal I,Integral,20
0817605,Maternal I,Integral,0
0817606,Maternal I,Integral,14
0817611,Maternal I,Integral,8
0817613,Maternal I,Integral,14
0817615,Maternal I,Integral,2
0817801,Maternal I,Integral,5
0817802,Maternal I,Integral,5
0817804,Maternal I,Integral,1
0817805,Maternal I,Integral,6
0817810,Maternal I,Integral,10
0833601,Maternal I,Integral,0
0833602,Maternal I,Integral,11
0833603,Maternal I,Integral,0
0833801,Maternal I,Integral,19
0833803,Maternal I,Integral,1
0833805,Maternal I,Integral,3
0833807,Maternal I,Integral,8
0833808,Maternal I,Integral,1
0833809,Maternal I,Integral,7
0833810,Maternal I,Integral,1
0833811,Maternal I,Integral,18
0918601,Maternal I,Integral,3
0918604,Maternal I,Integral,26
0918605,Maternal I,Integral,14
0918606,Maternal I,Integral,3
0918607,Maternal I,Integral,2
0918609,Maternal I,Integral,11
0918610,Maternal I,Integral,9
0918611,Maternal I,Integral,50
0918613,Maternal I,Integral,2
0918615,Maternal I,Integral,4
0918616,Maternal I,Integral,0
0918619,Maternal I,Integral,9
0918620,Maternal I,Integral,3
0918621,Maternal I,Integral,10
0918803,Maternal I,Integral,3
0918804,Maternal I,Integral,1
0918805,Maternal I,Integral,5
0918806,Maternal I,Integral,22
0918807,Maternal I,Integral,1
0918808,Maternal I,Integral,5
0918810,Maternal I,Integral,3
0918812,Maternal I,Integral,6
0918813,Maternal I,Integral,14
0918814,Maternal I,Integral,6
0918815,Maternal I,Integral,8
0918816,Maternal I,Integral,14
0918820,Maternal I,Integral,11
0918821,Maternal I,Integral,5
0918822,Maternal I,Integral,11
0918823,Maternal I,Integral,12
0918824,Maternal I,Integral,0
0918825,Maternal I,Integral,5
0918826,Maternal I,Integral,10
0918827,Maternal I,Integral,4
0918828,Maternal I,Integral,8
0918829,Maternal I,Integral,24
0918831,Maternal I,Integral,0
0918832,Maternal I,Integral,5
0918833,Maternal I,Integral,7
0918834,Maternal I,Integral,17
0918835,Maternal I,Integral,0
0918836,Maternal I,Integral,2
0918837,Maternal I,Integral,2
0918839,Maternal I,Integral,3
1019601,Maternal I,Integral,5
1019602,Maternal I,Integral,0
1019603,Maternal I,Integral,0
1019604,Maternal I,Integral,6
1019605,Maternal I,Integral,2
1019607,Maternal I,Integral,1
1019609,Maternal I,Integral,0
1019610,Maternal I,Integral,10
1019611,Maternal I,Integral,2
1019612,Maternal I,Integral,0
1019614,Maternal I,Integral,0
1019615,Maternal I,Integral,11
1019616,Maternal I,Integral,13
1019618,Maternal I,Integral,1
1019619,Maternal I,Integral,11
1019620,Maternal I,Integral,12
1019621,Maternal I,Integral,6
1019623,Maternal I,Integral,7
1019625,Maternal I,Integral,12
1019626,Maternal I,Integral,11
1019627,Maternal I,Integral,10
1019628,Maternal I,Integral,3
1019630,Maternal I,Integral,3
1019631,Maternal I,Integral,3
1019632,Maternal I,Integral,0
1019633,Maternal I,Integral,4
1019801,Maternal I,Integral,1
1019802,Maternal I,Integral,0
1019803,Maternal I,Integral,0
1019804,Maternal I,Integral,3
1019806,Maternal I,Integral,0
1019807,Maternal I,Integral,0
1019808,Maternal I,Integral,4
1019809,Maternal I,Integral,9
1019810,Maternal I,Integral,4
1019820,Maternal I,Integral,4
1019821,Maternal I,Integral,15
1019822,Maternal I,Integral,2
1019826,Maternal I,Integral,0
1019827,Maternal I,Integral,0
1019828,Maternal I,Integral,3
1019829,Maternal I,Integral,0
1019830,Maternal I,Integral,0
1019831,Maternal I,Integral,3
1026602,Maternal I,Integral,5
1026603,Maternal I,Integral,3
1026801,Maternal I,Integral,3
1026802,Maternal I,Integral,0
1026805,Maternal I,Integral,3
1026806,Maternal I,Integral,2
1026807,Maternal I,Integral,0
1026809,Maternal I,Integral,2
1026810,Maternal I,Integral,0
1120601,Maternal I,Integral,8
1120602,Maternal I,Integral,39
1120603,Maternal I,Integral,21
1120604,Maternal I,Integral,11
1120605,Maternal I,Integral,0
1120606,Maternal I,Integral,1
1120801,Maternal I,Integral,8
1120802,Maternal I,Integral,0
1120804,Maternal I,Integral,11
0101601,Maternal I,Parcial,16
0101604,Maternal I,Parcial,16
0101605,Maternal I,Parcial,18
0101606,Maternal I,Parcial,31
0101801,Maternal I,Parcial,2
0103607,Maternal I,Parcial,14
0103802,Maternal I,Parcial,7
0107606,Maternal I,Parcial,3
0107609,Maternal I,Parcial,9
0514802,Maternal I,Parcial,5
0622603,Maternal I,Parcial,0
0622801,Maternal I,Parcial,0
0625601,Maternal I,Parcial,5
0625608,Maternal I,Parcial,2
0625611,Maternal I,Parcial,0
0625615,Maternal I,Parcial,2
0625816,Maternal I,Parcial,11
0716602,Maternal I,Parcial,19
0716604,Maternal I,Parcial,24
0716814,Maternal I,Parcial,4
0716815,Maternal I,Parcial,2
0724603,Maternal I,Parcial,1
0817601,Maternal I,Parcial,20
0817607,Maternal I,Parcial,5
0817608,Maternal I,Parcial,17
0817609,Maternal I,Parcial,47
0817610,Maternal I,Parcial,9
