unidade,bairro_unid
0313053,PILARES
0313054,PILARES
0313055,ENGENHO DE DENTRO
0313056,TRIAGEM
0313501,RIACHUELO
0313503,LINS DE VASCONCELOS
0329001,BONSUCESSO
0430701,BONSUCESSO
0410202,BONSUCESSO
0410501,MANGUINHOS
0410502,OLARIA
0411202,PENHA
0411502,PENHA
0430201,BONSUCESSO
0430204,BONSUCESSO
0430206,BONSUCESSO
0430501,BONSUCESSO
0430502,BONSUCESSO
0430503,RAMOS
0431501,VIGARIO GERAL
0431502,JARDIM AMERICA
0410601,MANGUINHOS
0410602,BONSUCESSO
0410603,BENFICA
0411601,PENHA
0411602,PENHA
0411603,PRACA DO CARMO/PENHA
0411604,PENHA
0411605,PENHA
0411607,VILA DA PENHA
0411609,PENHA
0411610,PENHA
0430601,BONSUCESSO
0430602,BONSUCESSO
0430603,BONSUCESSO
0430604,BONSUCESSO
0430605,BONSUCESSO
0430607,BONSUCESSO
0431601,CORDOVIL
0431602,JARDIM AMERICA
0431603,CORDOVIL
0431604,VIGARIO GERAL
0431605,JARDIM AMERICA
0431606,JARDIM AMERICA
0431607,VIGARIO GERAL
0431608,PARADA DE LUCAS
04001,BONSUCESSO
04002,VILA DA PENHA
04003,PARADA DE LUCAS
04004,PENHA
04005,CORDOVIL
04006,BONSUCESSO
04007,RAMOS
04008,PENHA
04009,MANGUINHOS
04010,BONSUCESSO
04011,PENHA
04012,BONSUCESSO
04013,RAMOS
04014,BRAZ DE PINA
04015,MANGUINHOS
04016,MANGUINHOS
04017,PENHA
04018,BONSUCESSO
04020,RAMOS
04021,PENHA CIRCULAR
04022,PENHA
04023,BONSUCESSO
04024,OLARIA
04025,CORDOVIL
04026,PARADA DE LUCAS
04027,VIGARIO GERAL
04028,RAMOS
04029,OLARIA
04030,RAMOS
04032,VILA DA PENHA
04034,VILA DA PENHA
04035,BONSUCESSO
04036,BRAZ DE PINA
04037,RAMOS
04038,CORDOVIL
04039,PENHA CIRCULAR
04040,JARDIM AMERICA
04041,BONSUCESSO
04042,BRAZ DE PINA
04043,OLARIA
04044,BONSUCESSO
04045,PARADA DE LUCAS
04046,RAMOS
04047,OLARIA
04048,RAMOS
04049,MARE
04050,RAMOS
04051,MARE
04052,PENHA CIRCULAR
04053,MARE
04054,MARE
04055,JARDIM AMERICA
0410801,MANGUINHOS
0410802,MANGUINHOS - BONSUCESSO
0410803,BONSUCESSO
0410804,OLARIA
0410805,OLARIA
0410806,RAMOS
0410807,OLARIA
0410808,OLARIA
0410810,OLARIA
0410811,OLARIA
0410812,OLARIA
0411801,PENHA CIRCULAR
0411802,PENHA
0411803,PENHA
0411804,VILA DA PENHA
0411805,PENHA CIRCULAR
0411806,BRAZ DE PINA
0411808,PENHA CIRCULAR
0411809,PENHA
0430801,BONSUCESSO
0430802,BONSUCESSO (MARE)
0430803,BONSUCESSO (MARE)
0430804,BONSUCESSO
0430805,BONSUCESSO
0430806,BONSUCESSO
0430807,BONSUCESSO (MARE)
0430808,BONSUCESSO (MARE)
0430809,MARE
0430810,MARE
0430811,MARE
0430812,MARE
0430813,RAMOS
0430814,MARE
0430815,BONSUCESSO
0431801,CORDOVIL
0431802,JARDIM AMERICA
0431803,CORDOVIL
0431804,VIGARIO GERAL
0431805,JARDIM AMERICA
0410001,MANGUINHOS
0410002,MANGUINHOS
0410003,BONSUCESSO
0410004,BONSUCESSO
0410005,RAMOS
0410006,RAMOS
0410007,RAMOS
0410008,RAMOS
0410009,BONSUCESSO
0410010,RAMOS
0410011,RAMOS
0410012,RAMOS
0410013,BONSUCESSO
0410015,OLARIA
0410016,OLARIA
0410018,OLARIA
0410020,OLARIA
0410021,OLARIA
0410022,OLARIA
0410023,OLARIA
0410025,OLARIA
0410026,MANGUINHOS
0411001,PENHA
0411002,PENHA
0411004,PENHA
0411005,PENHA
0411006,PENHA
0411007,PENHA
0411008,PENHA CIRCULAR
0411009,PENHA
0411010,PENHA CIRCULAR
0411011,PENHA CIRCULAR
0411012,BRAZ DE PINA
0411013,BRAZ DE PINA
0411014,PENHA CIRCULAR
0411015,PENHA CIRCULAR
0411017,PENHA CIRCULAR
0411018,VILA DA PENHA
0411020,VILA DA PENHA
0411021,VILA DA PENHA
0411022,BRAZ DE PINA
0411023,BRAZ DE PINA
0411028,BRAZ DE PINA
0411036,BRAZ DE PINA
0411049,PENHA CIRCULAR
0430001,VILA DO JOAO / MARE
0430002,MANGUINHOS
0430003,BONSUCESSO
0430004,BONSUCESSO
0430005,RAMOS
0430007,BONSUCESSO (MARE)
0430009,BONSUCESSO
0430010,BONSUCESSO (MARE)
0430011,BONSUCESSO (MARE)
0430012,BONSUCESSO (MARE)
0430013,BONSUCESSO (MARE)
0430014,BONSUCESSO (MARE)
0430015,BONSUCESSO (MARE)
0430016,BONSUCESSO (MARE)
0430018,MARE
0430019,MARE
0430020,MARE
0431001,CORDOVIL
0431002,CORDOVIL
0431003,CORDOVIL
0431004,CORDOVIL
0431006,CORDOVIL
0431007,CORDOVIL
0431008,CORDOVIL
0431009,CORDOVIL
0431010,CORDOVIL
0431011,CORDOVIL
0431013,CORDOVIL
0431014,CORDOVIL
0431015,PARADA DE LUCAS
0431016,PARADA DE LUCAS
0431017,PARADA DE LUCAS
0431018,VIGARIO GERAL
0431019,VIGARIO GERAL
0431021,VIGARIO GERAL
0431022,VIGARIO GERAL
0431023,JARDIM AMERICA
0431024,JARDIM AMERICA
0431026,JARDIM AMERICA
0431027,JARDIM AMERICA
0514501,IRAJA
0515501,MARECHAL HERMES
0515502,CASCADURA
0515503,CASCADURA
0515701,MARECHAL HERMES
0514601,VILA KOSMOS
0514602,IRAJA
0514603,IRAJA
0514604,IRAJA
0514605,COLEGIO
0514606,VICENTE DE CARVALHO
0514607,VICENTE DE CARVALHO
0514608,VICENTE DE CARVALHO
0514609,IRAJA
0515601,ROCHA MIRANDA
0515602,MADUREIRA
