cep,ordem,esc_codigo,distancia_km,mesma_microarea
20021040,10,103606,0.733,false
20021060,1,103601,0.130,true
20021060,2,103502,0.239,true
20021060,3,103607,0.301,true
20021060,4,102601,0.331,true
20021060,5,103806,0.405,true
20021060,6,103805,0.521,true
20021060,7,103605,0.522,false
20021060,8,1025041,0.546,true
20021060,9,102602,0.690,true
20021060,10,103606,0.733,false
20021080,1,103601,0.130,true
20021080,2,103502,0.239,true
20021080,3,103607,0.301,true
20021080,4,102601,0.331,true
20021080,5,103806,0.405,true
20021080,6,103805,0.521,true
20021080,7,103605,0.522,false
20021080,8,1025041,0.546,true
20021080,9,102602,0.690,true
20021080,10,103606,0.733,false
20021120,1,103601,0.130,true
20021120,2,103502,0.239,true
20021120,3,103607,0.301,true
20021120,4,102601,0.331,true
20021120,5,103806,0.405,true
20021120,6,103805,0.521,true
20021120,7,103605,0.522,false
20021120,8,1025041,0.546,true
20021120,9,102602,0.690,true
20021120,10,103606,0.733,false
20021140,1,103601,0.130,true
20021140,2,103502,0.239,true
20021140,3,103607,0.301,true
20021140,4,102601,0.331,true
20021140,5,103806,0.405,true
20021140,6,103805,0.521,true
20021140,7,103605,0.522,false
20021140,8,1025041,0.546,true
20021140,9,102602,0.690,true
20021140,10,103606,0.733,false
20021180,1,103601,0.130,true
20021180,2,103502,0.239,true
20021180,3,103607,0.301,true
20021180,4,102601,0.331,true
20021180,5,103806,0.405,true
20021180,6,103805,0.521,true
20021180,7,103605,0.522,false
20021180,8,1025041,0.546,true
20021180,9,102602,0.690,true
20021180,10,103606,0.733,false
20021210,1,103601,0.130,true
20021210,2,103502,0.239,true
20021210,3,103607,0.301,true
20021210,4,102601,0.331,true
20021210,5,103806,0.405,true
20021210,6,103805,0.521,true
20021210,7,103605,0.522,false
20021210,8,1025041,0.546,true
20021210,9,102602,0.690,true
20021210,10,103606,0.733,false
20021260,1,103601,0.130,true
20021260,2,103502,0.239,true
20021260,3,103607,0.301,true
20021260,4,102601,0.331,true
20021260,5,103806,0.405,true
20021260,6,103805,0.521,true
20021260,7,103605,0.522,false
20021260,8,1025041,0.546,true
20021260,9,102602,0.690,true
20021260,10,103606,0.733,false
20021270,1,103601,0.130,true
20021270,2,103502,0.239,true
20021270,3,103607,0.301,true
20021270,4,102601,0.331,true
20021270,5,103806,0.405,true
20021270,6,103805,0.521,true
20021270,7,103605,0.522,false
20021270,8,1025041,0.546,true
20021270,9,102602,0.690,true
20021270,10,103606,0.733,false
20022060,1,103601,0.130,true
20022060,2,103502,0.239,true
20022060,3,103607,0.301,true
20022060,4,102601,0.331,true
20022060,5,103806,0.405,true
20022060,6,103805,0.521,true
20022060,7,103605,0.522,false
20022060,8,1025041,0.546,true
20022060,9,102602,0.690,true
20022060,10,103606,0.733,false
20030015,1,103601,0.130,true
20030015,2,103502,0.239,true
20030015,3,103607,0.301,true
20030015,4,102601,0.331,true
20030015,5,103806,0.405,true
20030015,6,103805,0.521,true
20030015,7,103605,0.522,false
20030015,8,1025041,0.546,true
20030015,9,102602,0.690,true
20030015,10,103606,0.733,false
20030070,1,103601,0.130,true
20030070,2,103502,0.239,true
20030070,3,103607,0.301,true
20030070,4,102601,0.331,true
20030070,5,103806,0.405,true
20030070,6,103805,0.521,true
20030070,7,103605,0.522,false
20030070,8,1025041,0.546,true
20030070,9,102602,0.690,true
20030070,10,103606,0.733,false
20030071,1,103601,0.130,true
20030071,2,103502,0.239,true
20030071,3,103607,0.301,true
20030071,4,102601,0.331,true
20030071,5,103806,0.405,true
20030071,6,103805,0.521,true
20030071,7,103605,0.522,false
20030071,8,1025041,0.546,true
20030071,9,102602,0.690,true
20030071,10,103606,0.733,false
20030088,1,103601,0.130,true
20030088,2,103502,0.239,true
20030088,3,103607,0.301,true
20030088,4,102601,0.331,true
20030088,5,103806,0.405,true
20030088,6,103805,0.521,true
20030088,7,103605,0.522,false
20030088,8,1025041,0.546,true
20030088,9,102602,0.690,true
20030088,10,103606,0.733,false
